,,,,,,
DISTRITOS - CONCELHOS - FREGUESIAS - LUGARES - ORAGOS ,,,,,,
Produzido por Genealogiafb.blogspot.pt,,,,,,
,,,,,,
Distrito,Concelho,Freguesia,Lugares (Census 2011),Orago da Freguesia,Notas sobre a Freguesia,
Aveiro,Águeda,Agadão,Alcafaz,Santa Maria Madalena,,
Aveiro,Águeda,Agadão,Caselho,Santa Maria Madalena,,
Aveiro,Águeda,Agadão,Foz,Santa Maria Madalena,,
Aveiro,Águeda,Agadão,Guistola,Santa Maria Madalena,,
Aveiro,Águeda,Agadão,Lomba,Santa Maria Madalena,,
Aveiro,Águeda,Agadão,Povinha,Santa Maria Madalena,,
Aveiro,Águeda,Agadão,Vila Mendo,Santa Maria Madalena,,
Aveiro,Águeda,Aguada de Baixo,Aguada de Baixo,São Martinho,,
Aveiro,Águeda,Aguada de Baixo,Borralha,São Martinho,,
Aveiro,Águeda,Aguada de Baixo,Landiosa,São Martinho,,
Aveiro,Águeda,Aguada de Baixo,Passadouro,São Martinho,,
Aveiro,Águeda,Aguada de Baixo,Póvoa,São Martinho,,
Aveiro,Águeda,Aguada de Baixo,Póvoa do Salgueiro,São Martinho,,
Aveiro,Águeda,Aguada de Baixo,Senhora da Memória,São Martinho,,
Aveiro,Águeda,Aguada de Cima,Aguada de Cima,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Aguadalto,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Almas da Areosa,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Azenhas da Várzea,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Bairro,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Borralheira,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Bustelo,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Cabeço Grande,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Cadaval,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Carvalhitos,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Engenho,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Forcada,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Garrido,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Lama,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Miragaia,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Outeiro,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Pousadouro,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Póvoa de Baixo,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Póvoa de São Domingos,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Póvoa do Vale Trigo,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Regueira do Forno,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Regueira do Seixo,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,São Martinho,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Seixo,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Vale do Carro,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Vale do Grou,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Vale Grande,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Vale Lobo,Santa Eulália,,
Aveiro,Águeda,Aguada de Cima,Vila,Santa Eulália,,
Aveiro,Águeda,Águeda,Águeda,Santa Eulália,,
Aveiro,Águeda,Águeda,Alagôa,Santa Eulália,,
Aveiro,Águeda,Águeda,Ameal,Santa Eulália,,
Aveiro,Águeda,Águeda,Assequins,Santa Eulália,,
Aveiro,Águeda,Águeda,Bicha Moura,Santa Eulália,,
Aveiro,Águeda,Águeda,Bolfiar,Santa Eulália,,
Aveiro,Águeda,Águeda,Brejo,Santa Eulália,,
Aveiro,Águeda,Águeda,Cabeço Santo,Santa Eulália,,
Aveiro,Águeda,Águeda,Catraia de Assequins,Santa Eulália,,
Aveiro,Águeda,Águeda,Giesteira,Santa Eulália,,
Aveiro,Águeda,Águeda,Gravanço,Santa Eulália,,
Aveiro,Águeda,Águeda,Maçoida,Santa Eulália,,
Aveiro,Águeda,Águeda,Paredes,Santa Eulália,,
Aveiro,Águeda,Águeda,Quinta da Alagôa,Santa Eulália,,
Aveiro,Águeda,Águeda,Quinta do Pisco,Santa Eulália,,
Aveiro,Águeda,Águeda,Raivo,Santa Eulália,,
Aveiro,Águeda,Águeda,Ribeira do Ameal,Santa Eulália,,
Aveiro,Águeda,Águeda,Ribeiro,Santa Eulália,,
Aveiro,Águeda,Águeda,Rio Covo,Santa Eulália,,
Aveiro,Águeda,Águeda,Sardão,Santa Eulália,,
Aveiro,Águeda,Águeda,Senhora da Serra,Santa Eulália,,
Aveiro,Águeda,Águeda,Vale de Erva,Santa Eulália,,
Aveiro,Águeda,Águeda,Vale Domingos,Santa Eulália,,
